district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
Baksa,7.954285714,129.0071429,2.6,0.288571429,91.78369141,26.49809265,IN-AS
Bongaigaon,7.695263158,78.91789474,1.90625,0.44631579,90.34599304,26.17593956,IN-AS
Cachar,7.9455,154.325,5.871428571,0.062,92.76519775,24.52084923,IN-AS
Darrang,7.647727273,115.9954545,2.073333333,0.280454546,92.34393311,26.50379944,IN-AS
Dhemaji,8.116428571,156.3878571,2.232307692,0.187692308,94.21111298,27.61084175,IN-AS
Dhubri,7.868571429,137.1492857,2.144444444,0.377857143,89.83874512,25.96647453,IN-AS
Goalpara,7.95375,85.068125,1.035,0.369375,90.77806091,25.90829086,IN-AS
Golaghat,7.92,173.4375,2.375,0.41875,94.1676712,26.35330963,IN-AS
Hailakandi,7.9,188.598,11.3,0.084,92.76519775,24.52084923,IN-AS
Jorhat,8.137692308,226.7284615,3.553846154,0.196923077,94.5951767,26.72989082,IN-AS
Kamrup,8.026923077,167.16,0.803846154,0.700769231,90.9356308,26.09427071,IN-AS
Karbi Anglong,7.947647059,167.3029412,1.064705882,0.528823529,92.66072083,25.58184052,IN-AS
Karimganj,8.05,120.2666667,1.3,0.088333333,92.28119659,24.74245262,IN-AS
Kokrajhar,7.81,112.5185714,2.6,0.168571429,89.8588562,26.73521805,IN-AS
Lakhimpur,8.02125,100.1445833,1.187083333,0.249583333,93.96253204,26.9295311,IN-AS
Nagaon,7.812,142.268,2.3,0.42,92.41088104,26.13756752,IN-AS
Sibsagar,8.161212121,168.0393939,2.03,0.165454546,94.79078674,26.80145264,IN-AS
