district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
Araria ,8,,23.5,0,87.63089752,26.39358711,IN-BR
Arwal,7.66,428.5,24.83,0.666666667,84.85675049,25.2170105,IN-BR
Aurangabad ,7.6,538.3,20.8,0.4,84.73145294,25.05792046,IN-BR
Banka ,7.83,438.5,17.17,0.833333333,86.60929871,24.60741043,IN-BR
Begusarai ,8,712.952381,1.3,0,86.05734253,25.33431053,IN-BR
Bhagalpur ,7.54,736.875,18.91,0.363636364,86.68749237,25.11802864,IN-BR
Bhojpur,8,712.95,20.68,0.260869565,84.84561157,25.6967907,IN-BR
Buxar,8,,160,1,84.26734924,25.36099815,IN-BR
Darbhanga ,8,464.3636364,16.55,0.727272727,85.95128632,25.95345116,IN-BR
E. Champaran ,7.96,528.25,5.24,0.586206897,85.18842316,26.82121277,IN-BR
Gaya,7.66,,27.5,0.833333333,85.38336945,24.53519058,IN-BR
Gopalganj ,8,540.4444444,13.67,0.166666667,84.8681488,26.25700951,IN-BR
Jamui ,7.81,648.5,24.13,0.8125,86.60929871,24.60741043,IN-BR
Jahanabad ,7.33,1101.333333,11.33,1,85.17370605,25.3096199,IN-BR
Kaimur ,8,,46.67,1,83.38680267,24.78421974,IN-BR
Kathihar,8,,34.71,0.142857143,87.26081085,25.35106277,IN-BR
Khagaria ,7.78,635.6666667,5.07,0,86.77443695,25.27617073,IN-BR
Kishanganj ,8,,50.2,0,87.64583588,26.39334869,IN-BR
Lakhisarai ,8,851.25,15.4,0.2,86.30722046,25.31689072,IN-BR
Madehpur,7.95,487.4,11.29,0,86.81774139,25.44383049,IN-BR
Madhubani,7.375,409.75,9.5,0.5,86.67945862,26.45361137,IN-BR
Munger,8,608,26.13,0.625,86.68749237,25.11802864,IN-BR
Muzzafer,7.86,,3.52,0.68,85.0613327,25.97289085,IN-BR
Nalanda,8.22,847.3448276,50.7,0.566666667,85.39048004,25.43396187,IN-BR
Nawada,8,,26.33,0.666666667,85.44213104,24.53938484,IN-BR
Patna,8,544.1428571,20.07,0.285714286,85.18090057,25.40299034,IN-BR
Purnea ,8,0,41.86,0.166666667,87.0069809,25.75961113,IN-BR
Rohtas ,,416,21.24,0.366666667,83.99221039,24.63803291,IN-BR
Saharsa ,8.18,419.1428571,11.63,0,86.40994263,25.72855949,IN-BR
Samastipur,7.78,489.2142857,18.21,0.285714286,85.86894989,25.66674995,IN-BR
Sapaul ,7.95,225.91,8.53,0,86.62766266,26.02894974,IN-BR
Saran ,7.96,577.3846154,19.58,0.192307692,84.84561157,25.6967907,IN-BR
Seikhpura ,8.2,,18.6,0.6,85.83059692,24.9854908,IN-BR
Sheohar ,8,225.5,1,0,85.27458954,26.35082054,IN-BR
Sitamarhi ,7.875,289.125,5.88,0.25,85.32910156,26.74627495,IN-BR
Siwan ,7.92,392.5714286,15.36,0.428571429,84.45066071,25.89022064,IN-BR
Vaishali ,7.73,487.8666667,18.6,0.533333333,85.18704987,25.62502098,IN-BR
W. Champaran ,8,0,10.71,0.428571429,83.9910965,27.07129288,IN-BR
