district, parameter.pH, parameter.TDS, parameter.NO3, parameter.Flouride, cordinates.longitude, cordinates.latitude,state
Balod,7.84,361.4,18.61,0.29,81.40467834,20.5495491,IN-CT
Baloda Bazar,8.05,422.1428571,8.128571429,0.285714286,82.68270111,21.47879028,IN-CT
Balrampur,8.036363636,220.8181818,13.34545455,0.3,83.21080017,23.21936035,IN-CT
Bemetara,7.942857143,482.8571429,29.85714286,0.342857143,81.18873596,21.51345062,IN-CT
Bilaspur,8.1675,414.125,21.97,0.465,83.01506805,22.23537064,IN-CT
Dhamtari,7.992857143,347.5,16.05,0.385714286,81.87375641,20.04618073,IN-CT
Durg,7.929411765,381.7058824,27.74705882,0.217647059,81.09208679,20.9987812,IN-CT
Gariaband,7.828571429,463.5714286,11.42857143,0.185714286,82.34121704,20.86806107,IN-CT
Janjgir-Champa,8.15,328,9.6,0.25,82.64205933,22.09783173,IN-CT
Jashpur,8.025,211.3,17.575,0.46,83.73387909,22.37637138,IN-CT
Kawardha,7.975,569.25,27.825,0.275,22.009,81.2243,IN-CT
Korba,7.938461538,229.6923077,13.80769231,0.371794872,82.82743835,22.74267006,IN-CT
Koriya,7.966666667,366.3333333,22.3,0.1,82.59996796,23.14227295,IN-CT
Mahasamund,7.98125,344.125,18.775,0.53125,82.18480682,20.94466019,IN-CT
Mungeli,8.24,513.6,29.93,0.41,82.03111267,21.88256264,IN-CT
Raigarh,7.92,294.6,13.8,0.456363636,83.483078,21.63960075,IN-CT
Raipur,7.840909091,341.1363636,17.48181818,0.304545455,81.90973663,20.77888107,IN-CT
Rajnandgaon,8.045454545,508.0909091,23.62272727,0.468181818,80.93888092,20.43836975,IN-CT
Surajpur,7.8,233.95,26.275,0.18,82.59996796,23.14227295,IN-CT
Surguja,7.955,213.85,16.935,0.205,83.66713715,22.62458038,IN-CT
