district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
Ahmedabad,8.204545455,18.63636364,1.376363636,2532.727273,71.8911972,22.09746933,IN-GJ
Amreli,8.129736842,63.44736842,0.513421053,941.0789474,71.25096893,20.81392097,IN-GJ
Anand,7.957333333,34.6,0.423333333,1312.733333,73.0819397,22.43531036,IN-GJ
Banaskantha,8.03,51.53846154,0.924615385,1073.153846,71.98055267,23.88953018,IN-GJ
Bharuch,8.076153846,22.34615385,0.657692308,1312.653846,72.67597198,21.44680977,IN-GJ
Bhavnagar,8.1871875,49.875,0.87125,1340.4375,71.70375061,20.99958229,IN-GJ
Dohad,8.0095,69.3,1.4125,859.5,73.68743134,22.46606064,IN-GJ
Gandhinagar,8.13,105,1.21,1559.5,73.02140045,23.16086006,IN-GJ
Jamnagar,8.108974359,49.43589744,0.722051282,1623.384615,69.91124725,22.54792023,IN-GJ
Junagadh,7.994716981,36.54716981,0.549811321,1928.754717,70.85456085,20.75208282,IN-GJ
Kachchh,8.194166667,20.19444444,0.619444444,2582.083333,69.64263916,22.76486206,IN-GJ
Kheda,8.304285714,37.57142857,0.902857143,1595.357143,72.6802597,22.50427055,IN-GJ
Mehsana,8.194,31.73333333,0.73,1503.133333,72.3446579,23.10588074,IN-GJ
Narmada,8.045833333,35.41666667,0.5675,698.9166667,73.89492798,21.45186043,IN-GJ
Navsari,7.887272727,5.818181818,0.513636364,1132.272727,72.84597015,20.76320076,IN-GJ
Panchmahals,8.16862069,31.51724138,0.952068966,696.1034483,73.73134613,22.28985023,IN-GJ
Patan,8.23,66.375,0.9875,3952.25,71.97860718,23.52902985,IN-GJ
Porbandar,8.059666667,37.3,0.516,1855.6,69.72374725,21.56375122,IN-GJ
Rajkot,7.972058824,56.17647059,0.799411765,1585.529412,70.31845856,21.5698204,IN-GJ
Sabarkantha,8.031315789,76.76315789,0.840526316,1093.315789,73.09776306,23.31461906,IN-GJ
Surat,7.946785714,29.03571429,0.523214286,650.6071429,72.64763641,21.07624817,IN-GJ
Surendranagar,8.04,36.86666667,0.963333333,2460.133333,70.99767303,22.40687943,IN-GJ
The Dangs,7.941111111,13.11111111,0.230555556,311.8333333,73.50699615,20.81866074,IN-GJ
Vadodara,8.256785714,30.82142857,0.981071429,1157.107143,73.45075226,21.96533966,IN-GJ
Valsad,8.123636364,6.181818182,0.309090909,554.3636364,72.73764038,20.13653946,IN-GJ
