district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.latitude,cordinates.longitude,state
Ahmedabad,8,2533,19,1,23.0225,72.5714,IN-GJ
Amreli,8,941,63,1,71.25096893,20.81392097,IN-GJ
Anand,8,1313,35,0,,,
Banaskantha,8,1073,52,1,,,
Bharuch,8,1313,22,1,72.67597198,21.44680977,IN-GJ
Bhavnagar,8,1340,50,1,71.70375061,20.99958229,IN-GJ
Daman,8,631,5,0,20.3974,72.8328,IN-GJ
Diu,8,2442,52,1,,,
Dahod,8,860,69,1,73.68743134,22.46606064,IN-GJ
Gandhinagar,8,1560,105,1,,,
Jamnagar,8,1623,49,1,69.91124725,22.54792023,IN-GJ
Junagadh,8,1929,37,1,,,
Kachchh,8,2582,20,1,69.64263916,22.76486206,IN-GJ
Kheda,8,1595,38,1,,,
Mahesana,8,1503,32,1,72.3446579,23.10588074,IN-GJ
Narmada,8,699,35,1,,,
Navsari,8,1132,6,1,72.84597015,20.76320076,IN-GJ
Panch Mahals,8,696,32,1,73.73134613,22.28985023,IN-GJ
Patan,8,3952,66,1,71.97860718,23.52902985,IN-GJ
Porbandar,8,1856,37,1,69.72374725,21.56375122,IN-GJ
Rajkot,8,1586,56,1,70.31845856,21.5698204,IN-GJ
Sabarkantha,8,1093,77,1,23.8477,72.9933,IN-GJ
Surat,8,651,29,1,72.64763641,21.07624817,IN-GJ
Surendranagar,8,2460,37,1,70.99767303,22.40687943,IN-GJ
The Dangs,8,312,13,0,73.50699615,20.81866074,IN-GJ
Vadodara,8,1157,31,1,73.45075226,21.96533966,IN-GJ
Valsad,8,554,6,0,20.5992,72.9342,IN-GJ
