district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
Ambala,8.52,0.535,2120.5,0.71,77.17542267,30.33328819,IN-HR
Bhiwani,8.38,6.085,,1876,75.89768219,28.43357849,IN-HR
Faridabad,8.39,0.92,,70.5,77.28803253,27.89640999,IN-HR
Fatehabad,8.415,2.055,,68,75.77279663,29.52774811,IN-HR
Gurgaon,48.37,2.18,,167.25,76.79585266,28.25387955,IN-HR
Hissar,8.425,2.115,,609,76.01980591,29.43164063,IN-HR
Jhajjar,8.175,3.615,,438.1,76.38105011,28.36907005,IN-HR
Jind,8.455,5.14,,55.4,76.31384277,29.57416534,IN-HR
Kaithal,8.59,5.135,,575,76.21111298,29.8432312,IN-HR
Karnal,8.6,0.59,,40,76.84822845,29.4913311,IN-HR
Kurukshetra,8.58,0.7,,28,76.4520874,30.10070992,IN-HR
Mahendergarh,8.36,7.105,,347.045,76.08009338,27.8510704,IN-HR
Mewat,8.12,1.175,,106,76.89363861,27.7792511,IN-HR
Palwal,8.26,1.155,,37.79,77.18376923,28.18596077,IN-HR
Panchkula,8.375,0.36,,154.3,77.15352631,30.6887207,IN-HR
Panipat,8.545,1.195,,138,76.85669708,29.20703125,IN-HR
Rewari,8.32,1.025,,360,76.67790985,28.09781075,IN-HR
Rohtak,8.35,2.095,,334.6,76.70120239,28.77200127,IN-HR
Sirsa,8.39,2.405,,57.55,75.05066681,29.26888084,IN-HR
Sonepat,8.28,8,,95,77.13176727,29.09464836,IN-HR
Yamunagar,7.965,0.34,,135,77.17542267,30.33328819,IN-HR
