district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.latitude,cordinates.longitude,state
Bokaro,8,746,66,1,85.99588776,23.90415382,IN-JH
Chatra,8,631,17,1,84.95697784,23.71281815,IN-JH
Deoghar,8,416,58,6,86.91117859,24.53867912,IN-JH
Dhanbad,8,690,42,1,86.12148285,23.90377235,IN-JH
Dumka,8,499,18,0,86.91117859,24.53867912,IN-JH
Purbi Singhbhum,8,513,18,0,86.72278595,22.21524811,IN-JH
Garhwa,8,570,11,1,83.99263,23.74151993,IN-JH
Giridih,8,593,66,1,86.28668213,23.91275978,IN-JH
GODDA,8,415,12,0,87.50641632,24.79712868,IN-JH
Gumla,7,430,49,0,84.93942261,23.00452995,IN-JH
Hazaribagh,8,597,27,1,85.08068085,24.38075066,IN-JH
Jamtara,8,404,35,6,86.46492004,24.01655006,IN-JH
Kodarma,8,464,26,0,85.44213104,24.53938484,IN-JH
Latehar,8,444,12,1,84.8794632,23.5564003,IN-JH
Lohardaga,7,286,0,0,84.39187622,23.60349083,IN-JH
Pakur,8,345,31,1,87.40014648,24.50481987,IN-JH
Palamu,8,524,8,1,84.57836914,23.98588943,IN-JH
Ramgarh,8,454,29,1,85.87757874,23.4758606,IN-JH
Ranchi,7,317,6,0,85.83067322,23.24323082,IN-JH
Sahibganj,8,500,9,0,87.47216034,25.19466972,IN-JH
Saraikela-kharsawan,7,318,8,1,86.06182861,22.5485096,IN-JH
Simdega,8,272,12,0,85.06249237,22.47841072,IN-JH
Pashchimi Singhbhum,8,508,20,1,85.67195129,22.05147171,IN-JH
