district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
Bagalkot,8.229166667,56.54166667,0.948333333,,75.85240173,15.93246078,IN-KA
Bangalore Rural,8.361538462,61.30769231,0.523846154,,77.75760651,12.92879868,IN-KA
Bangalore urban,8.28,12.32,0.6,,77.75023651,12.68716145,IN-KA
Belgaum,8.318596491,36.17368421,0.564035088,,74.75089264,15.49199104,IN-KA
Bellary,8.161904762,47.66666667,0.685714286,,76.67507172,14.89198112,IN-KA
Bidar,8.346153846,27.34615385,0.380769231,,77.14859772,17.62916946,IN-KA
Bijapur,8.481636364,78.92727273,1.962545455,,76.41282654,16.58693123,IN-KA
Chamarajanagar,7.955555556,23.06666667,0.427777778,,76.60787201,11.60044193,IN-KA
Chickmagalur,7.351923077,22.56153846,0.110615385,,75.72793579,13.1760807,IN-KA
Chitradurga,7.795833333,57.29166667,0.807083333,,76.55940247,13.67669964,IN-KA
Davanagere,8.5071875,5.6191875,1.980625,,75.60531616,13.75629044,IN-KA
Dharwad,8.42,44.75,1.035,,75.33235931,15.07770061,IN-KA
Gadag,8.580952381,11.80952381,1.838095238,,75.56939697,14.9669714,IN-KA
Gulbarga,8.302941176,41.5,0.752647059,,76.91776276,16.86725998,IN-KA
Hassan,8.234615385,19.03653846,0.427692308,,76.0161972,12.56062126,IN-KA
Haveri,7.52173913,61.7173913,1.019130435,,75.62332153,14.35723019,IN-KA
Kodagu,8.231481481,26.98148148,0.152222222,,76.16295624,12.11548138,IN-KA
Kolar,8.22,36.68,1.2344,,78.08246613,12.80915165,IN-KA
Koppal,8.238235294,38,1.208823529,,76.02720642,15.13937187,IN-KA
Mandya,8.03902439,36.92682927,0.596585366,,77.2306366,12.49094963,IN-KA
Mysore,8.210638298,37.17021277,0.417021277,,76.11653137,11.84304047,IN-KA
Raichur,8.340425532,46.8212766,0.80893617,,77.02902985,15.84490108,IN-KA
Ramanagar,8.128,14.49096,0.764,,77.46850586,12.7454319,IN-KA
Shimoga,8.034782609,12.55362319,0.370434783,,75.20313263,13.50838089,IN-KA
South kannada,8.189156627,3.108554217,0.224578313,,,,IN-KA
Tumkur,8.378571429,26.69047619,0.766904762,,77.42904663,13.9563818,IN-KA
Udupi,8.153424658,4.308219178,0.094109589,,74.6701355,13.19958401,IN-KA
Uttar kannada,7.941463415,5.51097561,0.436707317,,74.32624817,14.02069473,IN-KA
