district,parameter.ph,parameter.flouride,parameter.no3,parameter.tds,cordinates.latitude,cordinates.longitude,state
Alappuzha,8,0,6,,76.41430664,9.56319523,IN-KL
Ernakulam,7,0,10,,76.38239288,9.82431126,IN-KL
Idukki,8,0,12,,77.3867569,9.51673985,IN-KL
Kannur,8,0,8,,75.19403076,12.11625099,IN-KL
Kasaragod,7,0,6,,75.15763855,12.1093111,IN-KL
Kollam,7,0,14,,76.7635498,8.85163116,IN-KL
Kottayam,7,0,10,,76.46736145,9.5409708,IN-KL
Malappuram,8,0,17,,76.06149292,10.72084999,IN-KL
Palakkad,8,0,10,,76.88829803,10.79988194,IN-KL
Pathanamthitta,8,0,10,,76.64102173,9.14179039,IN-KL
Thiruvananthapuram,7,0,19,,77.04347229,8.33569431,IN-KL
