district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
Ahmednagar,7.861904762,551.7142857,24.95238095,0.163809524,74.83828735,18.33893013,IN-MH
Akola,7.847058824,777.7647059,36.35294118,0.198823529,76.82023621,20.28148842,IN-MH
Amravati,7.865079365,564.6031746,31.47619048,0.205714286,78.08905792,21.1823597,IN-MH
Aurangabad,7.731578947,736.5789474,33.10526316,0.119473684,75.21553802,19.55770111,IN-MH
Beed,7.7875,505,31.75,0.25625,75.58914185,18.6970005,IN-MH
Bhandara,7.867857143,538.6428571,28.39285714,0.526071429,80.43331909,21.0971508,IN-MH
Buldana,7.671428571,646.7142857,38,0.117142857,76.53199768,19.8512001,IN-MH
Chandrapur,7.802,615.06,33.9,0.3134,79.51481628,19.54076195,IN-MH
Dhule,7.907692308,734.5769231,35.26923077,0.394615385,74.93795776,20.92760277,IN-MH
Gadchiroli,7.820588235,515.6764706,32.08823529,0.426176471,80.26753998,18.71796989,IN-MH
Gondia,7.691304348,408.6521739,27.13043478,0.419130435,79.95803833,20.68901062,IN-MH
Hingoli,8.333333333,357.5,33.33333333,0.3,77.09892273,19.10672951,IN-MH
Jalgaon,7.864516129,513.4516129,32.22580645,0.413548387,75.16514587,20.47663116,IN-MH
Jalna,7.79,1381.7,46.4,0.649,75.6114502,19.38202286,IN-MH
Kolhapur,7.726315789,241.8684211,15.05263158,0.366842105,74.34677124,15.76311016,IN-MH
Latur,7.957894737,638.0526316,34.78947368,0.155263158,77.15331268,18.64533043,IN-MH
MUMBAI,7.575,305.75,10.5,0.165,72.88412476,19.00902939,IN-MH
Nagpur,7.760655738,499.1311475,24.86885246,0.314590164,79.21897888,20.58177948,IN-MH
Nanded,8.15625,495.375,35.1875,0.2778125,77.73651123,18.55480957,IN-MH
Nandurbar,7.886363636,396.5454545,23.63636364,0.121818182,73.85721588,20.99770927,IN-MH
Nashik,7.808196721,499.6721311,26.57377049,0.275901639,73.62877655,19.58708,IN-MH
Osmanabad,7.586666667,894.42,23.66666667,0.163333333,76.30529785,18.09507942,IN-MH
Parbhani,8.377272727,427.9545455,25.81818182,0.366363636,76.99323273,18.82670975,IN-MH
Pune,8.091176471,465.6176471,24.38235294,0.468235294,74.71494293,18.0288105,IN-MH
Raigad,7.771428571,254.2142857,13.57142857,0.245714286,73.03819275,18.05208397,IN-MH
Ratnagiri,7.53,155.18,7.92,0.1596,73.08429718,17.81875038,IN-MH
Sangli,7.825,673.4722222,27.25,0.183055556,74.85526276,17.20967865,IN-MH
Satara,7.717777778,411.6666667,19.86666667,0.312,74.61403656,17.84583282,IN-MH
Sindhudurg,7.35,119.1521739,11.04347826,0.456956522,73.45597076,15.88986206,IN-MH
Solapur,7.683333333,754.6666667,31.91666667,0.49,74.90097809,17.23968124,IN-MH
Thane,7.785714286,386.9428571,8.571428571,0.275428571,72.94922638,19.18885994,IN-MH
Wardha,7.7525,522.3,34.475,0.71775,78.79656219,20.29751968,IN-MH
Washim,7.7875,513.8125,35.8125,0.1275,77.6632309,20.24158287,IN-MH
Yavatmal,7.75,569.3461538,39.65384615,0.150384615,78.9514389,20.18411064,IN-MH
