district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
ANUGUL,8.051842105,476.4473684,,0.626052632,84.74501038,20.60569,IN-OR
BALANGIR,7.771041667,333.9791667,,2.149979167,82.81746674,20.16052055,IN-OR
BALESHWAR,7.92,280.1333333,,0.737333333,87.12388611,21.51972008,IN-OR
BARGARH,8.099672131,377.1967213,,0.330508475,83.29641724,20.84884071,IN-OR
BAUDH,7.72195122,351.9268293,,0.636875,84.78772736,20.57517052,IN-OR
BHADRAK,7.943,375.7,,0.1681,87.01651001,20.80282974,IN-OR
CUTTACK,7.850243902,392.4390244,,0.28995122,86.07704926,20.09867096,IN-OR
DEBAGARH,7.70625,286.25,,0.28625,84.9641571,21.18012047,IN-OR
DHENKANAL,7.89875,315.1875,,0.32178125,85.12320709,20.60911179,IN-OR
GAJAPATI,7.64047619,278.3809524,,0.699857143,84.34435272,18.8327198,IN-OR
GANJAM,7.775584416,524.4545455,,0.674545455,84.73021698,19.08930588,IN-OR
JAGATSINGHAPUR,7.768235294,372.4352941,,0.336764706,86.38694763,19.96277618,IN-OR
JAJAPUR,7.790666667,86.24666667,,0.364666667,85.89578247,20.84045029,IN-OR
JHARSUGUDA,7.500909091,27.27272727,,0.363454546,83.4197464,21.67502022,IN-OR
KALAHANDI,7.615666667,316.8,,0.518,82.76528931,19.32743263,IN-OR
KENDRAPARA,7.787142857,290.7142857,,0.331428571,86.87416077,20.67361069,IN-OR
KENDUJHAR,7.857627119,121.2894915,,0.300101695,86.0045929,21.52727127,IN-OR
KHORDHA,7.541785714,137.0142857,,0.115464286,84.9337616,19.88963127,IN-OR
KORAPUT,7.518780488,128.1707317,,0.117707317,82.73387909,19.15307045,IN-OR
MALKANGIRI,7.736363636,288.6363636,,0.504545455,81.75829315,17.89336014,IN-OR
MAYURBHANJ,7.842857143,144,,0.320428571,86.42262268,21.32624054,IN-OR
Nabarangapur,7.72,193.73,,0.16,82.84877014,19.1966629,IN-OR
Nayagarh,8.15,307.96,,0.46,84.506073,20.3923912,IN-OR
Nuapada,7.9,313.96,,0.52,82.81746674,20.16052055,IN-OR
Puri,7.68,552.54,,0.22,86.37249756,19.95444489,IN-OR
Rayagada,7.65,248.1,,0.27,82.8710022,19.17711067,IN-OR
Sambalpur,7.78,271.49,,0.42,84.67666626,21.05914116,IN-OR
Subarnapur,,,,,84.26069641,20.88430977,IN-OR
Sundargarh,7.71,218,,0.31,85.1879425,21.65886116,IN-OR
