district,parameter. ph,parameter.flouride,parameter.tds,cordinates.latitude,cordinates.longitude,state
Agalpur,8,1,426,,,IN-OR
Ambabhona,8,0,277,,,IN-OR
Anandpur,8,0,140,,,IN-OR
Anugul,8,0,488,,,IN-OR
Asika,8,1,517,,,IN-OR
Athagad,8,0,153,,,IN-OR
Athmallik,8,1,242,,,IN-OR
Attabira,8,0,335,,,IN-OR
Badachana,8,0,265,,,IN-OR
Badamba,8,0,441,,,IN-OR
Bahanaga,8,1,298,,,IN-OR
Balangir,8,1,287,,,IN-OR
Baleshwar,8,1,185,,,IN-OR
Balianta,8,0,463,,,IN-OR
Baliapal,8,1,306,,,IN-OR
Balikuda,8,0,262,,,IN-OR
Balipatana,8,0,189,,,IN-OR
Banarpal,8,1,939,,,IN-OR
Bangomunda,8,0,419,,,IN-OR
Banspal,8,0,113,,,IN-OR
Baranga,8,0,161,,,IN-OR
Barapali,8,0,444,,,IN-OR
Bargarh,8,0,430,,,IN-OR
Barkot,8,0,190,,,IN-OR
Bauda,8,1,396,,,IN-OR
Begunia,7,0,102,,,IN-OR
Bellaguntha,8,1,409,,,IN-OR
Belpara,8,1,267,,,IN-OR
Bhadrak,8,0,295,,,IN-OR
Bhandaripokhari,8,0,754,,,IN-OR
Bhanjanagar,8,0,502,,,IN-OR
Bhatli,8,0,396,,,IN-OR
Bhawanipatna,7,0,344,,,IN-OR
Bheden,8,0,284,,,IN-OR
Bhuban,8,0,386,,,IN-OR
Bhubaneswar,8,0,155,,,IN-OR
Bijepur,8,1,569,,,IN-OR
Binjharpur,8,0,231,,,IN-OR
Boipariguda,7,0,107,,,IN-OR
Bolagad,7,0,163,,,IN-OR
Boriguma,8,0,118,,,IN-OR
Champua,8,0,207,,,IN-OR
Chhatrapur,8,1,526,,,IN-OR
Chhendipada,8,1,455,,,IN-OR
Chikiti,8,0,260,,,IN-OR
Chilika,8,0,296,,,IN-OR
Cuttacksadar,8,0,432,,,IN-OR
Dampara,8,0,277,,,IN-OR
