district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
Ajmer,8,115,4,2442,73.90558624,25.68683052,IN-RJ
Alwar,8,36,2,1281,76.45745087,27.08287811,IN-RJ
Banswara,8,53,1,562,74.51934052,23.64114952,IN-RJ
Baran,8,27,1,1303,76.84117126,24.4428196,IN-RJ
Barmer,8,88,1,3254,71.64041901,25.02848053,IN-RJ
Bharatpur,8,94,1,1886,77.45517731,26.8895607,IN-RJ
Bhilwara,8,52,2,1252,75.39978027,25.29652023,IN-RJ
Bikaner,8,38,1,1505,73.68231201,27.92077065,IN-RJ
Bundi,8,29,1,1349,76.25621033,25.67383194,IN-RJ
Chittaurgarh,8,174,1,2889,75.35061646,25.0248394,IN-RJ
Churu,8,126,2,1900,74.72355652,27.86952019,IN-RJ
Dausa,8,32,2,1680,76.17484283,26.49040031,IN-RJ
Dhaulpur,8,107,1,1730,77.82467651,26.57274055,IN-RJ
Dungarpur,8,41,1,593,73.96247101,23.38138962,IN-RJ
Ganganagar,8,22,1,1329,73.1445694,28.78169823,IN-RJ
Hanumangarh,8,41,3,2128,74.15394592,28.77775764,IN-RJ
Jaipur,8,76,3,2026,75.79135132,26.55369949,IN-RJ
Jaisalmer,8,85,1,2260,70.13728333,26.15489769,IN-RJ
Jalor,8,87,1,2440,72.36503601,24.74392128,IN-RJ
Jhalawar,8,43,1,1010,76.53453827,24.51569939,IN-RJ
Jhunjhunun,8,38,1,1337,75.72274017,27.78667259,IN-RJ
Jodhpur,8,143,2,3107,73.83007813,26.48394012,IN-RJ
Karauli,8,66,1,893,77.23784637,26.26272011,IN-RJ
Kota,8,22,0,848,76.06256866,24.57517052,IN-RJ
Nagaur,8,163,2,2492,74.28806305,26.45112038,IN-RJ
Pali,8,43,1,2730,73.40542603,25.07874107,IN-RJ
Pratapgarh,8,29,1,565,74.93112183,23.94491005,IN-RJ
Rajsamand,8,101,1,1593,73.6631012,24.70388031,IN-RJ
Sawai madhopur,8,69,1,1268,76.31694031,25.81378937,IN-RJ
Sikar,8,81,1,1336,75.4262619,27.30483055,IN-RJ
Sirohi,8,107,2,1249,73.00302887,24.92688942,IN-RJ
Tonk,8,59,1,1681,75.70664215,25.76030922,IN-RJ
Udaipur,8,34,0,964,74.38247681,24.31601906,IN-RJ
