district,parameter.ph,parameter.no3,parameter.nitrate,cordinates.longitude,cordinates.latitude,state
ARIYALUR,8,27,0,79.25847626,10.97425079,IN-TN
CHENNAI,7,9,1,80.23345184,12.96909046,IN-TN
Coimbatore,8,90,1,77.15656281,10.78965092,IN-TN
CUDDALORE,8,40,1,79.63275909,11.23497105,IN-TN
DHARMAPURI,8,73,1,78.70404816,11.96790886,IN-TN
DINDIGUL,8,26,1,78.15361023,10.08057022,IN-TN
ERODE,8,25,1,77.84909058,11.23407078,IN-TN
KANCHEEPURAM,8,46,1,79.96208191,12.22216034,IN-TN
Kanniyakumari,8,79,1,77.55596161,8.07903099,IN-TN
KARAIKKAL,8,12,1,79.838,10.9254,IN-TN
KARUR,9,30,1,78.49813843,10.68002033,IN-TN
Madurai,8,36,1,78.06778717,9.74771023,IN-TN
Nagappattinam,8,20,1,79.74597168,10.27735996,IN-TN
NAMAKKAL,8,20,1,78.4334259,11.33039093,IN-TN
The Nilgiris,9,14,1,76.85726929,11.34142017,IN-TN
PERAMBALUR,8,22,1,78.99304199,11.04352093,IN-TN
PONDICHERRY,8,19,1,76.85726929,11.34142017,IN-TN
PUDUKKOTTAI,8,120,1,78.95748901,9.9830389,IN-TN
RAMANATHAPURA M,8,77,1,79.53009033,9.38595772,IN-TN
SALEM,8,65,1,78.2265625,11.90686035,IN-TN
SIVAGANGA,8,52,1,78.7057724,9.6962719,IN-TN
Thanjavur,8,9,1,79.51509857,10.32097054,IN-TN
THENI,8,228,1,77.34089661,9.59505081,IN-TN
Tiruppur,8,88,1,77.43850708,11.11145115,IN-TN
THIRUVALLUR,7,23,1,80.02852631,13.12436104,IN-TN
Tiruvannamalai,8,54,1,79.50778198,12.34159184,IN-TN
THIRUVARUR,8,16,1,79.62568665,10.34375095,IN-TN
TIRUNELVELI,8,49,1,77.96347046,8.32891083,IN-TN
Tiruchirappalli,8,43,1,78.36396027,10.29705048,IN-TN
Thoothukkudi,8,84,1,78.11541748,8.61680889,IN-TN
Viluppuram,8,76,1,79.94625092,12.21914959,IN-TN
Virudunagar,8,46,1,77.96669769,9.24324989,IN-TN
