district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
Anantapur,7.4,128,1.1,1339,77.71420288,13.76079082,IN-AP
Chittoor,7.2,27,0.6,798,78.46292877,12.63537025,IN-AP
YSR Cuddapah,7.5,36,0.9,1310,79.46092987,13.7835207,IN-AP
East Godavari,7.9,42,0.2,872,82.31735229,16.57653046,IN-AP
Guntur,8,111,0.7,1412,80.78291321,15.83763981,IN-AP
Krishna,8,40,0.5,1676,81.02791595,15.76569366,IN-AP
Kurnool,7.3,180,0.8,1502,77.15276337,15.13162136,IN-AP
Nellore,7.7,37,0.7,1367,80.09707642,13.64153099,IN-AP
Prakasam,7.3,89,1.1,1531,80.05986023,15.19986153,IN-AP
Srikakulam,7.7,46,0.4,789,83.91897583,18.20652771,IN-AP
Visakhapatnam,7.9,52,0.4,740,83.17207336,17.56903076,IN-AP
Vizianagaram,7.9,51,0.5,718,83.65958405,18.07550049,IN-AP
West Godavari,8.1,29,0.4,1154,81.81902313,16.66213989,IN-AP
