district,parameter.ph,parameter.no3,parameter.flouride ,parameter.tds ,cordinates.longitude ,cordinates.latitude ,state
,,,,,,,
Central,7.76,655,0.79,650,77.2167,28.6643,IN-DL
East,8.245714286,19.53714286,0.508571429,450,77.2956,28.628,IN-DL
New Delhi,8.046666667,116.7816667,0.516666667,400,77.209,28.6139,IN-DL
North,8.17,35.68166667,0.723333333,380,77.1412,28.7886,IN-DL
North East,8.355,10.93,0.51,420,77.258,28.7184,IN-DL
North West,8.057,200.51,1,400,77.0685,28.7186,IN-DL
South,8.29,87.37,0.5,380,77.1873,28.4817,IN-DL
South West,8.086666667,122.5111111,0.807777778,420,77.0346,28.5929,IN-DL
West,8.12375,127.275,1.29,,77.068,28.6663,IN-DL
