district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
AGAR MALWA,8.384166667,,60.91666667,0.749166667,76.1996994,23.70700073,IN-MP
ALIRAJPUR,7.744285714,,81,0.661428571,74.50608063,22.04644966,IN-MP
ANUPPUR,7.323125,,15.25,0.4,81.78592682,22.87708092,IN-MP
ASHOKNAGAR,7.764,,77.2,0.268,78.26074982,24.45393944,IN-MP
BALAGHAT,7.30025641,,20.23076923,0.497692308,80.40444183,21.37581062,IN-MP
BARWANI,7.642,,98,0.196,75.25739288,21.74445152,IN-MP
BETUL,8.02,,35.22222222,0.386666667,77.99973297,21.41616249,IN-MP
BHIND,7.811176471,,36.64705882,0.655882353,79.08357239,26.27240944,IN-MP
BHOPAL,7.55125,,44.375,0.20375,77.59104919,23.27256012,IN-MP
BURHANPUR,7.975714286,,62.42857143,0.385714286,76.66107178,21.28242111,IN-MP
CHHATARPUR,8.195789474,,39.21052632,0.45631579,79.86122131,24.45776749,IN-MP
CHHINDWARA,7.381944444,,48.97222222,0.583333333,79.25312042,21.77921295,IN-MP
DAMOH,8.125,,32,0.535555556,79.18334198,23.2231102,IN-MP
DATIA,8.049,,49.4,0.745,78.43707275,25.56435013,IN-MP
DEWAS,8.3715,,101.55,0.562,76.78704834,22.43190956,IN-MP
DHAR,7.835384615,,58.73076923,0.464230769,74.95160675,22.08489037,IN-MP
DINDORI,7.356153846,,8.846153846,0.302307692,80.88539124,22.34997177,IN-MP
GUNA,7.8405,,30.5,0.294,77.22319794,23.9001503,IN-MP
GWALIOR,7.705,,41.85714286,0.538571429,77.8655777,25.7545681,IN-MP
HARDA,8.202727273,,54.45454545,0.456363636,77.49710846,22.05888939,IN-MP
HOSHANGABAD,7.751363636,,33.04545455,0.290909091,77.71724701,22.32143974,IN-MP
INDORE,7.798,,76.6,0.314,76.04767609,22.8098793,IN-MP
JABALPUR,7.449473684,,15.47368421,0.313157895,79.86654663,23.36628914,IN-MP
JHABUA,7.855,,59.1,0.545,74.78424835,22.5814209,IN-MP
KATNI,7.386470588,,32.35294118,0.443529412,80.6164093,23.61007118,IN-MP
KHANDWA,7.706333333,,52.8,0.297666667,76.07878876,21.57455826,IN-MP
KHARGONE,7.79125,,73.25,0.33375,75.80545807,21.38903046,IN-MP
MANDLA,7.420625,,13.5,0.3703125,80.87404633,22.3348484,IN-MP
MANDSAUR,7.917916667,,94.41666667,0.438333333,74.93992615,23.76585007,IN-MP
MORENA,8.048181818,,43.27272727,0.608181818,77.5027771,26.0690403,IN-MP
NARSINGHPUR,7.442352941,,31.35294118,0.552941177,79.03277588,23.19734001,IN-MP
NEEMUCH,8.104782609,,81.91304348,0.563043478,74.86403656,24.27396011,IN-MP
PANNA,8.084333333,,32.56666667,0.517333333,79.79006958,24.376791,IN-MP
RAISEN,7.882307692,,35.26923077,0.344615385,78.02436066,22.80602264,IN-MP
RAJGARH,8.137777778,,42.22222222,0.452222222,77.16587067,23.69078064,IN-MP
RATLAM,8.1156,,81.04,0.5092,75.32475281,23.29964256,IN-MP
REWA,7.897333333,,35.5,0.294,81.68942261,24.50341034,IN-MP
SAGAR,7.861363636,,23.36363636,0.413636364,79.18334198,23.2231102,IN-MP
SATNA,7.838444444,,38.6,0.524,80.99584961,24.09613037,IN-MP
SEHORE,8.117222222,,54.05555556,0.558888889,76.78090668,22.8362999,IN-MP
SEONI,7.336818182,,19.31818182,0.653409091,79.25312042,21.77921295,IN-MP
SHAHDOL,7.324285714,,16.19047619,0.357142857,81.54953003,23.02223015,IN-MP
SHAJAPUR,8.230714286,,62.42857143,0.547857143,76.63285065,23.54609108,IN-MP
SHEOPUR,7.99,,68.83333333,0.568888889,77.25122833,25.64850998,IN-MP
SHIVPURI,7.849354839,,116.516129,0.679354839,77.8655777,25.7545681,IN-MP
SIDHI,7.513913043,,17.13043478,0.490869565,81.49836731,23.98574066,IN-MP
SINGRAULI,7.460526316,,18.10526316,0.505789474,82.20388794,23.8529911,IN-MP
TIKAMGARH,8.162380952,,56.85714286,0.704285714,78.981987,24.44724083,IN-MP
UJJAIN,8.153928571,,85.57142857,0.602857143,75.43763733,22.87265015,IN-MP
UMARIA,7.352857143,,15.57142857,0.45,80.53716278,23.39206123,IN-MP
VIDISHA,7.96,,45.4,0.3608,78.23213959,23.71797943,IN-MP
