district,parameter.ph,parameter.no3,parameter.flouride,parameter.tds,cordinates.longitude,cordinates.latitude,,state
Adilabad,9,229,3,5139,78.532,19.6641,,IN-TG
Hyderabad,8,84,2,1085,78.4867,17.385,,IN-TG
Karimnagar,8,227,3,2211,79.1288,18.4386,,IN-TG
Khammam,8,311,3,3504,80.1514,17.2473,,IN-TG
Mahabub- nagar,7,3,0,250,78.1108,16.3841,,IN-TG
Medak,8,198,3,2464,78.1108,17.8716,,IN-TG
Nalgonda,8,993,4,4399,79.2,17.1883,,IN-TG
Nizamabad,8,128,1,1351,78.0941,18.6725,,IN-TG
Ranga Reddy,8,584,4,1747,77.8367,17.3891,,IN-TG
Warangal,8,126,3,1488,79.5941,17.9689,,IN-TG
